FID,Serial,Lat,Long,GWL18,Aspect,Curvature,Drainage_density,Elevation,GWL_m,GWL_f,GWL_m_SP1,GWL_f_SP1,Distance_from_stream,Lithology,Plan_curvature,Profile_curvature,Slope_degree,TWI1,TRI,Sy
0,1,25.1324,90.4851,24.53,90,0.216315,0.062237,19,7.359,0.335960135,3.168455,1.886685,8056.66,7,0.216315,0,1.41294,6.38834,12,0.044633
1,2,25.1329,90.4011,25.6,0,-0.108158,0.067682,16,7.68,0.241441141,9.555959,2.3956,5790,7,0,0.108158,0.471065,14.724658,14.6969,0.052271
2,3,25.1221,90.4479,25.15,153.435,-0.216315,0.071419,15,7.545,0.24148993,4.238886,4.667708,5791.17,7,0,0.216315,2.10577,6.704465,17.4356,0.049851
3,4,25.1212,90.4221,25.62,71.565,0.108158,0.07125,17,7.686,0.195126559,3.602039,3.313003,4679.33,7,0.108158,0,2.23338,5.955077,12,0.05188
4,5,25.1055,90.3242,27,150.255,-0.973418,0.082019,15,8.1,0.111000375,5.906491,18.868374,2661.9,7,-0.499189,0.474229,3.79239,7.235131,16.0935,0.074653
5,6,25.1111,90.4715,25.79,116.565,-0.216315,0.079048,14,7.737,0.22441266,4.283173,3.045722,5381.64,7,-0.108158,0.108158,1.05324,8.046114,12.8452,0.049433
6,7,25.1085,90.3478,26.03,315,0,0.084826,14,7.809,0.095600684,4.219978,1.477584,2292.6,7,0,0,0.333097,9.941773,11.3137,0.070084
7,8,25.102,90.3009,25.58,105.255,-0.43263,0.072653,15,7.674,0.115260831,5.164987,9.571842,2764.07,7,-0.113565,0.319065,2.68358,7.164951,11.6619,0.07685
8,9,25.0963,90.5014,24.38,90,-0.324473,0.094098,15,7.314,0.173995663,5.437485,11.666407,4172.59,7,-0.216315,0.108158,2.82417,7.338822,14.2829,0.045547
9,10,25.0742,90.3526,15.95,-1,0,0.089865,13,4.785,0.039894625,1.837878,0.126833,956.713,7,0,0,0,10.491274,12.4499,0.072116
10,11,25.0743,90.5162,24.48,8.1301,0.216315,0.118299,17,7.344,0.056196989,3.322658,2.305093,1347.66,5,0,-0.216315,1.66504,6.234221,12.4499,0.046779
11,12,25.056,90.3684,16.8,21.8014,0,0.095859,17,5.04,0.11910721,4.416968,5.881214,2856.31,5,0,0,2.53517,6.526594,13.2288,0.064938
12,13,25.0487,90.5433,13.61,45,0,0.135775,12,4.083,0.015922522,5.126936,3.795605,381.838,5,0,0,0.666172,9.707801,7.2111,0.045607
13,14,25.042,90.4837,11.78,125.538,0.108158,0.128315,15,3.534,0.008010258,3.508554,2.934416,192.094,5,0.151421,0.043263,2.02533,6.048468,13.8564,0.053042
14,15,25.051,90.3086,9.95,333.435,0.216315,0.09429,16,2.985,0.106598557,3.995491,2.562873,2556.34,5,0.054079,-0.162236,1.05324,7.758432,14.6969,0.077526
15,16,25.0371,90.291,9.91,229.764,0.108158,0.087246,19,2.973,0.044546516,4.861119,10.45621,1068.27,5,0.147094,0.038937,4.00453,6.083451,15.0997,0.076077
16,17,25.0203,90.411,14.11,338.199,-0.43263,0.123069,16,4.233,0.11813102,5.51558,11.369458,2832.9,6,-0.270394,0.162236,2.53517,7.625207,12.8452,0.063238
17,18,25.0156,90.3556,9.7,288.435,-0.108158,0.09955,14,2.91,0.063702514,5.070486,3.928817,1527.65,5,0,0.108158,0.744795,9.455963,9.64365,0.070157
